Wavelength (nm)	355 nm LED	375 nm LED	405 nm LED	420 nm LED	450 nm LED	470 nm LED	490 nm LED
230.0	-5.2462628411689506e-05	4.25029288321944e-05	4.325190189349083e-05	1.4442796457233817e-05	5.755249793477263e-07	1.5457634799723134e-05	0.00011248719554675396
231.0	7.021259602777942e-06	-2.234732779141938e-05	5.62690291157911e-05	-6.44848783361881e-06	9.63895661639114e-05	9.24299940242564e-05	0.00015061937980287549
232.0	3.5045503911960696e-05	6.354808422687939e-05	9.077533832958932e-05	3.4870067817094013e-06	5.201040277803897e-05	0.00010964532670554914	0.0001279645113943769
233.0	5.911956420605837e-05	3.065528579518604e-05	8.97551172601084e-05	5.133191106091214e-05	5.138804893618475e-05	0.0002326944002342757	0.00011787227500277339
234.0	5.652462949401124e-05	2.7537484995975083e-05	0.0001234298594221433	7.711664932980493e-05	7.044274541999555e-05	0.00015671097924389117	0.00010826645759473888
235.0	-0.00012013054128720937	-2.8115259269959422e-05	8.371818869324573e-05	8.342167657073956e-05	7.909168566796582e-05	6.226737788273917e-05	0.00012442169596278954
236.0	-7.402054755787259e-05	5.5597692188887916e-05	8.617069092353334e-05	0.0001251101402682601	0.00011220091005473187	0.00014336031308288615	5.9800742490594544e-05
237.0	-3.1703150715366997e-05	0.00012785272571063047	5.426771341737524e-06	4.568561800932871e-05	5.233402677580395e-05	5.550963328272037e-05	3.433077209051202e-05
238.0	5.89199538435877e-05	0.00022052935446721574	1.6368704369176714e-05	0.00010092518503064803	6.949676758037461e-05	8.814459500961504e-05	6.300268162659901e-05
239.0	2.9765233107320676e-06	9.542349502934983e-05	9.986796552548785e-05	7.14753091668641e-05	0.00010635434024894678	7.835063653282838e-05	0.00018195701857180984
240.0	3.057528237360848e-05	-8.70694929485863e-06	0.00012078870317414064	4.625024731448648e-05	0.00015625644944283813	0.00012671318614139294	0.00014712635529086238
241.0	0.0001817853848448577	8.768232383446785e-05	0.00011263438148740386	7.825581371740571e-05	0.0002012259599015552	0.00017897510185740825	0.00012569710951816263
242.0	0.00010540290377647906	-0.00010182458276975696	8.030504034644023e-05	7.074228164788833e-05	0.00013109201638582968	0.00019373977619530555	0.00020704015182746436
243.0	-5.1863797324297916e-05	4.780319019085755e-05	9.117002239296705e-05	5.716641388087823e-05	0.0001169307992528405	0.00010528619106818403	0.00014829069679486218
244.0	-0.00012352391744911112	4.468538939164616e-05	8.90005011892516e-05	5.462558200766743e-05	0.0001482832076517396	9.770433127304625e-05	6.766004764261567e-05
245.0	-8.300301386878232e-05	5.6688922468610535e-05	2.3631884051186183e-05	3.4581241674547724e-05	0.00018355466710049957	0.00018654394930736075	0.00010637440265073732
246.0	-5.2263018049225916e-05	0.00011397851215413776	-8.344971951418323e-06	4.389762520965914e-05	0.0001132820275857321	0.00024851741198064477	7.682923698664074e-05
247.0	0.00014175825426642125	0.00010735318545581028	4.325190189349043e-05	3.796901750549842e-05	7.287525986473538e-05	0.00013940456014629614	0.00012165638489078357
248.0	0.0002875158420998226	0.0001755673850469936	4.365899740539963e-05	2.4378291072566985e-05	8.451149855362099e-05	0.00012007689009645213	0.00013660898104746254
249.0	-3.110431962797398e-05	2.9174330415561386e-05	8.633889642884863e-06	2.4888438602663743e-05	7.737928622200432e-06	0.00016594106942927409	0.00010812091490674161
250.0	-8.440028640603534e-05	5.0141540790264986e-05	-4.30573112108823e-05	6.620048276341117e-05	6.85507897407512e-05	0.00012341672536090334	9.211121922668822e-05
251.0	-5.605561493605272e-05	8.615214002116797e-05	4.19313237694903e-05	6.121292390118214e-05	9.760582338627958e-05	8.847424108766056e-05	0.00010157149394672233
252.0	3.543421882833715e-05	-1.5760973603083318e-05	7.020212123988646e-05	6.038826794233247e-05	5.4247320301051894e-05	2.5550877215785526e-05	1.6294968990663916e-05
253.0	5.752268130633518e-05	-7.628528161779007e-05	0.0001310703471395791	7.11880416256423e-05	2.963055862487741e-05	-6.628652429585501e-06	0.00016808450236292742
254.0	-6.763301595900462e-05	-0.0001333410362433714	4.7968252336352285e-05	3.138167561198197e-05	-1.3479002923601198e-05	9.853651472884948e-06	4.641081519454986e-05
255.0	-3.275534784838505e-07	-0.00013377588740747846	4.053627695428469e-05	4.861433379790096e-06	3.4509812745035604e-05	9.006608464877258e-05	5.994245510785788e-05
256.0	8.418532140030677e-06	0.00011483590737391623	6.343788178894015e-05	3.0561054698776884e-06	3.0306257081754933e-05	-8.524924204436695e-05	5.6598803354582424e-05
