Wavelength (nm)	Z	E	HL
230.0	10670.648697278255	6701.106948917748	10141.216854555387
231.0	10398.702163801716	6465.920006052477	10637.976198956361
232.0	10077.142513143284	6254.283040954213	11136.700658058438
233.0	9706.360640247833	6062.531057500568	11631.880313990583
234.0	9266.494988440636	5878.105944677051	12144.00136836881
235.0	8812.361053004051	5718.015293330301	12612.17225226555
236.0	8331.710410763446	5570.490026493852	13058.587501888938
237.0	7835.317512869354	5434.8924387974175	13478.097715795804
238.0	7334.883383051017	5311.319605361608	13866.587967843985
239.0	6815.444075631813	5194.738891414723	14239.756271710223
240.0	6343.890978653838	5098.427844997429	14555.1765357727
241.0	5903.809938557946	5017.269546229428	14829.089511544129
242.0	5504.994116865666	4952.592219089647	15056.515898399159
243.0	5155.186319618219	4905.520643555104	15231.909871929493
244.0	4844.598879893279	4876.095755528776	15354.55890645436
245.0	4608.505293030376	4868.218547370117	15406.0
246.0	4427.9986431777	4879.984501146546	15389.847890972691
247.0	4300.089731004734	4911.654816718038	15301.40940718646
248.0	4217.623306278216	4966.642702201798	15122.329266278752
249.0	4183.009437572799	5038.65764180221	14865.108078770974
250.0	4184.384094716328	5129.24367281003	14517.574239880309
251.0	4217.871066913869	5243.668513683522	14052.125481207702
252.0	4273.617484665908	5368.226944458951	13523.779167479723
253.0	4347.3390258218715	5506.317018336019	12922.27413792449
254.0	4434.484330709972	5655.602012891761	12261.960132820983
255.0	4536.745781672556	5822.531904766176	11514.523581529113
256.0	4640.113890702611	5986.536584124997	10763.47288932486
257.0	4747.136411873143	6153.666461686332	9969.18041254097
258.0	4861.8626816422475	6330.89218600757	9081.568709383979
259.0	4970.5076663802965	6497.0613440538855	8201.656838759392
260.0	5077.693331358788	6659.563752401168	7306.049572050309
261.0	5188.154510074496	6825.249641379865	6381.159898370717
262.0	5289.371391940577	6975.221422924179	5563.671713248536
263.0	5391.643328429966	7124.797472254432	4798.153361079787
264.0	5483.4273113288145	7257.390452579085	4182.300881638779
