[py] (M)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon	D
251.0	6964.939219287001	8825.31866322393	12843.579014050067	16295.425478035984
252.0	6994.778220585918	8925.942779956951	12472.126261598045	16570.454265064713
253.0	7053.723383640298	9046.217961808328	12064.670858684238	16857.291990675276
254.0	7129.965623807647	9173.15905341946	11625.068126639198	17134.772504667613
255.0	7227.615437167196	9311.501413013097	11177.418510848733	17410.967329412837
256.0	7336.327107881525	9455.872141334014	10739.043836346167	17686.945491551483
257.0	7454.097866043522	9597.061084258448	10295.908336366656	17936.222403394015
258.0	7579.3310230049965	9740.813373867359	9807.64384332007	18180.441451015675
259.0	7705.939637816835	9881.6347282704	9257.925268927405	18412.60930918909
260.0	7839.764568862056	10022.25905620764	8651.091567631962	18631.144112678667
261.0	7975.203890535299	10148.520795460006	8025.349924331299	18799.85043580431
262.0	8107.316032850999	10270.66245480991	7435.061622266721	18961.085380732187
263.0	8231.231884195604	10370.022335697477	6928.771061071429	19062.645579171574
264.0	8356.035513138091	10471.569573994464	6511.981027376244	19169.75387459135
265.0	8468.42825223698	10549.765013687089	6191.516055596306	19222.911445689162
266.0	8587.016117261532	10632.476863029537	5950.750619927995	19279.67290044674
267.0	8683.502155706685	10688.509722854493	5770.314358764533	19289.057384293606
268.0	8779.095852190827	10738.622175252236	5635.574811514361	19280.706112605574
269.0	8853.580201528936	10770.83127006502	5534.296871403873	19251.861396550343
270.0	8924.350206762834	10794.749264726734	5455.646417517047	19202.615475689137
271.0	8981.23224727457	10804.427055443577	5394.879903603728	19131.845145039944
272.0	9025.439540789983	10797.134651180106	5346.614206098367	19028.44773198344
273.0	9058.712430229487	10785.32986967152	5310.029939899848	18929.99030980378
274.0	9071.09202290707	10753.74317399044	5275.438664414561	18804.513308194048
275.0	9081.72353570577	10718.848007408007	5244.610828497871	18671.374075931577
276.0	9069.466058003492	10661.230498982157	5215.145322590469	18505.201135768428
277.0	9038.488626605715	10581.77071309712	5187.380260325595	18301.365391798015
278.0	9001.258915804941	10496.812996902307	5160.563345512329	18090.82201243095
279.0	8943.193536067805	10392.595035315579	5132.329642884719	17854.859615453952
280.0	8873.193975724418	10280.934101372584	5101.961882968752	17616.062552880285
281.0	8789.069982352652	10152.837549542595	5065.771048233943	17348.99430612089
282.0	8687.28298283911	10006.862381539288	5028.333617291533	17055.310031378463
283.0	8578.623214532907	9856.93208323737	4987.628516238486	16761.075329777264
284.0	8454.957125532732	9689.172935419238	4941.935110882745	16435.60515405574
285.0	8323.984980210662	9512.941906428898	4894.0097987328045	16095.608243924027
286.0	8189.851471067353	9324.296187818009	4843.834170775102	15720.742997680203
287.0	8051.161228595058	9125.63118015815	4790.91481375014	15321.346854105577
288.0	7903.142971227966	8916.264671405252	4736.0282181894445	14903.77933327062
289.0	7751.75719018391	8697.585655379657	4679.678706186678	14461.849393794306
290.0	7600.293625990375	8471.014381384924	4623.602536688437	13994.275457201875
291.0	7450.816097155455	8240.097986423254	4566.46945380253	13508.931146764955
292.0	7303.5054646848075	8015.329827958298	4509.570973979056	13039.77271150711
293.0	7147.939052113621	7789.5043300272855	4456.058072493181	12582.020352394627
294.0	7006.23816612555	7571.38356727737	4405.313462944298	12124.48141526918
295.0	6862.0711418746305	7355.5924370907305	4357.410944067683	11678.992436601084
296.0	6719.946639217473	7145.686161342894	4313.227284200791	11249.052738515787
297.0	6583.422301902645	6952.744157916608	4271.445064869245	10864.4550204888
298.0	6451.666514792833	6761.915144289414	4234.405502197625	10478.177049766415
299.0	6326.053114627209	6588.02441882364	4200.909346796209	10136.180169967862
