Wavelength / nm	1	2	3
0.0	12116.770271137322	8756.347882239894	15376.90149435409
1.0	11904.80935157992	8496.140602270518	16086.439071835961
2.0	11647.342015522927	8274.4425587593	16799.547646918603
3.0	11334.806099008409	8068.699134778961	17531.255752320376
4.0	10964.862972753717	7877.309558764065	18255.764840131462
5.0	10555.752982356324	7697.137328820028	18964.091895013677
6.0	10098.008148092056	7526.468919552271	19665.478512157133
7.0	9609.75064855937	7370.912361959352	20339.701388994446
8.0	9102.463986249235	7235.395636507812	20978.327619108175
9.0	8596.492808609513	7115.132244158963	21578.150755893308
10.0	8078.612195065432	7010.171930117094	22138.700778647937
11.0	7578.004163809165	6916.6642162321505	22646.181524405805
12.0	7103.773008121042	6841.540841277878	23083.087721073553
13.0	6673.843589642113	6783.250117154721	23433.026712658437
14.0	6308.67722266435	6738.128593375445	23688.69009418317
15.0	5999.860335471586	6717.923023787216	23839.129758665997
16.0	5761.647903171605	6715.4649226674155	23883.224190863584
17.0	5587.089889113734	6734.693710053319	23829.801978489635
18.0	5473.635860367332	6774.035082938117	23677.927525862648
19.0	5411.512057338117	6837.0149414183625	23407.114225955604
20.0	5390.657545622297	6913.782117823203	23006.512286323737
21.0	5404.876610176124	7012.653138447286	22449.704072492183
22.0	5447.9130728742075	7129.048172665281	21743.838028556165
23.0	5512.805610152357	7262.713137932849	20913.556997867752
24.0	5595.32219701769	7403.918140978543	19987.353599513026
25.0	5694.24466946587	7557.047802294811	19031.684448375177
26.0	5801.894890821796	7719.560663973924	18064.245937936063
27.0	5917.27299758511	7885.93486053436	17087.44666711523
28.0	6037.544017187548	8052.2967933994205	16053.138312272376
29.0	6159.059926403718	8215.429037454334	14898.735500612012
30.0	6287.079825717311	8374.327462183095	13602.045502311485
31.0	6411.002905853401	8530.338317991855	12219.06472116889
32.0	6530.229516087709	8676.768523025912	10845.470361510914
33.0	6648.9101314659465	8811.784211493437	9594.787147339306
34.0	6758.084296598265	8946.54891072988	8528.054095023248
35.0	6866.5162130198205	9066.630558613544	7665.522066326795
36.0	6963.453154498131	9186.04565354819	6982.864542849133
37.0	7052.458742054251	9293.274755583394	6446.4588912312365
38.0	7134.48410462294	9386.73860567622	6026.375429440389
39.0	7203.376569951956	9461.53994292434	5687.875686039391
40.0	7256.252625485037	9530.965292373307	5410.965892770474
41.0	7303.646714336233	9578.047547784729	5184.905955683291
42.0	7333.782403039683	9612.768194752285	4988.984757694019
43.0	7354.970511954528	9640.74271076192	4820.044691383991
44.0	7360.265958392829	9642.545468379405	4669.462590718759
45.0	7349.215767930789	9626.10056472505	4533.228607346648
46.0	7324.016790767671	9601.395208685202	4407.78931043334
47.0	7286.477952599757	9560.53202597301	4289.330741223658
48.0	7237.66464003914	9503.56283255642	4183.021375002807
49.0	7164.602959571821	9442.444708280158	4081.0043501608206
50.0	7082.729453920649	9366.515734716186	3992.6271373233417
51.0	6995.223921982031	9269.92512698418	3916.1746865401583
52.0	6892.647302939118	9163.972761412204	3844.2080070965662
53.0	6775.494330865014	9059.86559290028	3782.063603286166
54.0	6652.300784201532	8938.665658099408	3725.693050960196
55.0	6523.004123192681	8807.726523734704	3677.9762661999853
56.0	6391.957604779904	8667.209415369425	3634.003964182732
57.0	6261.032522679882	8523.81116638303	3599.089962649975
58.0	6129.312920501357	8370.468931256142	3568.1322342706017
59.0	6000.740934972179	8223.507431826714	3543.4093234915495
60.0	5872.594327279026	8066.141344643474	3522.1592675645857
61.0	5752.340832231548	7910.176829530438	3510.9327807872046
62.0	5638.743476766438	7760.08557191604	3503.891613258274
63.0	5526.401467482658	7606.434279124552	3504.036061072859
64.0	5421.550781929371	7460.621740124356	3510.757962127449
65.0	5321.297559320145	7319.332099449282	3523.551069933139
66.0	5226.702022564117	7181.296872600971	3539.491528578218
67.0	5134.608299648117	7048.756083562743	3559.8473080483936
68.0	5049.157906596701	6923.1572757200665	3585.934489397293
69.0	4967.430539733475	6801.563645203858	3617.948025897517
70.0	4888.082009845904	6684.344133799286	3652.69902622964
